pemmdb_carrier,pemmdb_type,pemmdb_hydro_inflows,pecd_carrier,investment_dataset_carrier,open_tyndp_carrier,open_tyndp_index,open_tyndp_type,pypsa_eur_carrier,comment
Solar,Photovoltaic,,LFSolarPVUtility,Solar PV Utility,solar-pv-utility,solar-pv-utility,solar-pv-utility,,For non Italian nodes Utility and Rooftop share the same PECD profile called LFSolarPV
Solar,Rooftop,,LFSolarPVRooftop,Solar PV Rooftop,solar-pv-rooftop,solar-pv-rooftop,solar-pv-rooftop,,For non Italian nodes Utility and Rooftop share the same PECD profile called LFSolarPV
Solar,Thermal Solar,,CSP_noStorage,,solar-thermal,solar-thermal,solar-thermal,,
Solar,Solar Thermal with Storage,,CSP_withStorage,,solar-thermal-w-storage,solar-thermal-w-storage,solar-thermal-w-storage,,
Solar,Solar Thermal with Storage - Storage,,CSP_withStorage,,solar-thermal-w-storage,solar-thermal-w-storage-storage,solar-thermal-w-storage-storage,,
Wind,Onshore wind,,Wind_Onshore,Wind Onshore,onwind,onwind,onwind,,
Wind,Offshore wind,,Wind_Offshore,,offwind,offwind,offwind,,only used w/o offshore hubs
,,,Wind_Offshore,,offwind-ac-fb-r,offwind-ac-fb-r,offwind-ac-fb-r,,only used with offshore hubs
,,,Wind_Offshore,,offwind-ac-fl-r,offwind-ac-fl-r,offwind-ac-fl-r,,only used with offshore hubs
,,,Wind_Offshore,,offwind-dc-fb-r,offwind-dc-fb-r,offwind-dc-fb-r,,only used with offshore hubs
,,,Wind_Offshore,,offwind-dc-fl-r,offwind-dc-fl-r,offwind-dc-fl-r,,only used with offshore hubs
,,,Wind_Offshore,,offwind-dc-fb-oh,offwind-dc-fb-oh,offwind-dc-fb-oh,,only used with offshore hubs
,,,Wind_Offshore,,offwind-dc-fl-oh,offwind-dc-fl-oh,offwind-dc-fl-oh,,only used with offshore hubs
,,,Wind_Offshore,,offwind-h2-fb-oh,offwind-h2-fb-oh,offwind-h2-fb-oh,,only used with offshore hubs
,,,Wind_Offshore,,offwind-h2-fl-oh,offwind-h2-fl-oh,offwind-h2-fl-oh,,only used with offshore hubs
Hydro,Run of River - Turbine,Run_of_River,,,hydro-ror,hydro-ror-turbine,hydro-ror-turbine,,
Hydro,Pondage - Reservoir,Pondage,,,hydro-pondage,hydro-pondage-reservoir,hydro-pondage-reservoir,,
Hydro,Pondage - Turbine,Pondage,,,hydro-pondage,hydro-pondage-turbine,hydro-pondage-turbine,,
Hydro,Reservoir - Reservoir,Reservoir,,,hydro-reservoir,hydro-reservoir-reservoir,hydro-reservoir-reservoir,,
Hydro,Reservoir - Turbine,Reservoir,,,hydro-reservoir,hydro-reservoir-turbine,hydro-reservoir-turbine,,
Hydro,Pump Storage - Reservoir,PS_Open,,,hydro-phs,hydro-phs-reservoir,hydro-phs-reservoir,,
Hydro,Pump Storage - Turbine,PS_Open,,,hydro-phs,hydro-phs-turbine,hydro-phs-turbine,,
Hydro,Pump Storage - Pump,PS_Open,,,hydro-phs,hydro-phs-pump,hydro-phs-pump,,
Hydro,Pure Pump Storage - Reservoir,PS_Closed,,,hydro-phs-pure,hydro-phs-pure-reservoir,hydro-phs-pure-reservoir,,
Hydro,Pure Pump Storage - Turbine,PS_Closed,,,hydro-phs-pure,hydro-phs-pure-turbine,hydro-phs-pure-turbine,,
Hydro,Pure Pump Storage - Pump,PS_Closed,,,hydro-phs-pure,hydro-phs-pure-pump,hydro-phs-pure-pump,,
Other RES,"Small Biomass, Geothermal, Marine, Waste and Not Defined",,,,other-res,other-res,other-res,,
Gas,Conventional old 1,,,,gas,gas-conv-old1,gas-conv,OCGT,
Gas,Conventional old 2,,,,gas,gas-conv-old2,gas-conv,OCGT,
Gas,CCGT old 1,,,,gas,gas-ccgt-old1,gas-ccgt,CCGT,
Gas,CCGT old 2,,,,gas,gas-ccgt-old2,gas-ccgt,CCGT,
Gas,CCGT new,,,,gas,gas-ccgt-new,gas-ccgt,CCGT,
